domain,stableId,fieldId,english,candidateSpanish,status,sourceDigest,exemptionEligible,source,reviewDecision,reviewNotes
site,catalog.legacy.06bbfb19c5ebd86d,value,Office Workflow,Proceso de la oficina,needs_review,63981e168a7b10574b65bfa08935740eba505d3badc9449cf5723327d9d16855,false,checked_in_legacy_catalog,,
site,catalog.legacy.084d651b53752503,value,Civic Access,Acceso cívico,needs_review,588eb92f86d21b4d64ae3686a58a7be03f50f021343ef17c8b8adadede662720,false,checked_in_legacy_catalog,,
site,catalog.legacy.13a94fec49b0cf14,value,Official Legislative Profile,Perfil legislativo oficial,needs_review,eef2828e86b943936431468b7b9e6e30cfc09d39668e2e9a0c22337e4abd0429,false,checked_in_legacy_catalog,,
site,catalog.legacy.13ae9a8de2ba835a,value,"Constituent services, legislative information, voting resources, and district office access for New Jersey's 34th Legislative District.","Servicios para residentes, información legislativa, recursos electorales y acceso a la oficina del distrito para el Distrito Legislativo 34 de Nueva Jersey.",needs_review,4c0c131be72b6eb9d44a17b7803247755ab12c171a9895c8e4694dba450e7b22,false,checked_in_legacy_catalog,,
site,catalog.legacy.1589d513efc48c6e,value,Constituent Support,Apoyo a residentes,needs_review,b71d6d651990e194c0f6b7fa7127e3e9f29b7eb5b56304853e7744511ecfeeb2,false,checked_in_legacy_catalog,,
site,catalog.legacy.15a94eff22d8ede8,value,Around District 34,En el Distrito 34,needs_review,9d48935357554456133a06b13a20f0914b8325a56960e1eb7c9ae3a2ead1df45,false,checked_in_legacy_catalog,,
site,catalog.legacy.164ef696f2ac81da,value,Every District Newsletter includes an unsubscribe link.,Cada Boletín del distrito incluye un enlace para cancelar la suscripción.,needs_review,1ce9226fb8a8bef3ab53ef1020aac8bddbe12fcdfe30caf75466e2188ac68577,false,checked_in_legacy_catalog,,
site,catalog.legacy.194972b8e4b15c55,value,Call or send a message when you need help navigating a New Jersey state agency or want to share a legislative concern.,Llame o envíe un mensaje cuando necesite ayuda con una agencia estatal de Nueva Jersey o quiera compartir una inquietud legislativa.,needs_review,f8fa3151c604b1e35a5ee0148197ff7aba9e1715e27e82dc4b44e439e6cfc52b,false,checked_in_legacy_catalog,,
site,catalog.legacy.1d95682b843607b3,value,Join Newsletter,Suscribirse al boletín,needs_review,67d13cafd35fd6c3aa129802044e87340407030f0926ed3a2ac1c4698f6ca33d,false,checked_in_legacy_catalog,,
site,catalog.legacy.20008c9d0f826cf1,value,District Office,Oficina del distrito,needs_review,01a8c20cc4f826866b2f81f83ec586457fe99bf8ce8a8fe7dabc6f66c9fac57f,false,checked_in_legacy_catalog,,
site,catalog.legacy.211bb3de5686f88e,value,Survey,Encuesta,needs_review,29f6ccd45ef6ad568a7e108e12b3c042ea4295b5c035c94a32b00e8295081b9e,false,checked_in_legacy_catalog,,
site,catalog.legacy.21327c0fc1a0659e,value,Posts published by authorized office staff appear here.,Las publicaciones del personal autorizado de la oficina aparecen aquí.,needs_review,cfee0cf54233898570d7bcdb08fc0212543d2cc557e7549a7afccce99eccfdbc,false,checked_in_legacy_catalog,,
site,catalog.legacy.224ce73a09d3fc4e,value,Fields marked * are required. All other fields are optional.,Los campos marcados con * son obligatorios. Todos los demás campos son opcionales.,needs_review,5a4c598bc55ba5d78d5dd87b3749e7227a0144b7d2bbdf014f904e150cf53ba1,false,checked_in_legacy_catalog,,
site,catalog.legacy.225110a015033987,value,Committee Work,Trabajo de comités,needs_review,771e2e7df5755c7067781dd85ae3bf89045793311961a6c6b0a35a8d00d91633,false,checked_in_legacy_catalog,,
site,catalog.legacy.22b0d5e08b635888,value,Small business roundtable with constituents at a local restaurant,Mesa redonda de pequeños negocios con residentes en un restaurante local,needs_review,c63f7f73b1fe67157cd326654060a5586ae0f4db28c866dbf1508a214f4a0c83,false,checked_in_legacy_catalog,,
site,catalog.legacy.22e2bada8f1c65cd,value,Updates,Novedades,needs_review,a921563cae601345a3368c2310453882857c961def63c4b05c909b04f6aa36ee,false,checked_in_legacy_catalog,,
site,catalog.legacy.23e74725f0ebd062,value,Use these links for current public information or contact the district office at (973) 450-0484.,Use estos enlaces para consultar información pública vigente o comuníquese con la oficina del distrito al (973) 450-0484.,needs_review,53776ae6af97f79ac512438b9f2db8db0302a328892f4c22c9e48a1e15751f2c,false,checked_in_legacy_catalog,,
site,catalog.legacy.273ea8304d5cb611,value,Email updates,Novedades por correo electrónico,needs_review,bd085163d0f3c9a8042d3bc9b4f3646f21b4bd8485aea4bbc5dbb12c55956601,false,checked_in_legacy_catalog,,
site,catalog.legacy.27ca79d3080edc4d,value,Constituent Conversations,Conversaciones con residentes,needs_review,32104c1442052741ff4b9213cfec5fb5e1ef1ea7399c327172e592906338e054,false,checked_in_legacy_catalog,,
site,catalog.legacy.29eeddaa299bbc7a,value,Assemblywoman Carmen Morales with legislative colleagues at the State House,La asambleísta Carmen Morales con colegas legisladores en la Casa de Gobierno,needs_review,72126548b7dd058826e5dfd7fd19febc81380c40d0f606373665fcc52f630cc0,false,checked_in_legacy_catalog,,
site,catalog.legacy.2b3d181c13b68a96,value,"For current office hours and district event information, call the district office.","Para conocer los horarios de atención y los eventos actuales del distrito, llame a la oficina del distrito.",needs_review,9f2e9e0a0c0abbe5860a9e3c87ceb2cd0c19f61ef68810e57c95cfcbde5d0495,false,checked_in_legacy_catalog,,
site,catalog.legacy.2b5c3d26721ae9c3,value,Contact,Contacto,needs_review,0a005fed4e7a91b76f9538cc810f2fbf755601e282d0eee21f5c322082097340,false,checked_in_legacy_catalog,,
site,catalog.legacy.2f77668a9dfbf8d5,value,Message,Mensaje,needs_review,448445ccab5df26653e96b25b36c445913cefc19dcaf23dac275feb687f9c4dc,false,checked_in_legacy_catalog,,
site,catalog.legacy.306f1bb20677a622,value,Phone number,Número de teléfono,needs_review,98022eb2d42fd1dc65be3b417f31534bb9109a2cff789d730adac49f5b9d97de,false,checked_in_legacy_catalog,,
site,catalog.legacy.35497db3c577508d,value,Verified paths for District 34 residents,Recursos verificados para residentes del Distrito 34,needs_review,bf81c696432dc2fc9aba49babce5ff454920e0e55a54e8897a00529cd25471fe,false,checked_in_legacy_catalog,,
site,catalog.legacy.374a6b5656c1754a,value,Contact the Office,Contactar a la oficina,needs_review,f8655dc4a1fe810c206568e870c3850fe614258d7176634527fad0ca686ff76c,false,checked_in_legacy_catalog,,
site,catalog.legacy.3944a2cae51ff1d1,value,The online survey is not accepting responses. Residents can share priorities directly with the district office by phone or through the official contact form.,La encuesta en línea no acepta respuestas. Los residentes pueden compartir sus prioridades directamente con la oficina del distrito por teléfono o mediante el formulario de contacto oficial.,needs_review,88b8fe5494a9044420394176a6b3115b872c733c79c8e4ed6cf69ccf937aca56,false,checked_in_legacy_catalog,,
site,catalog.legacy.3964227345086424,value,Browse the State of New Jersey department and service directory for direct government resources.,Consulte el directorio de departamentos y servicios del Estado de Nueva Jersey para acceder a recursos gubernamentales directos.,needs_review,97be2392606e0fbc82af9ef97cf0687409962707520a34b632f276d00deef26b,false,checked_in_legacy_catalog,,
site,catalog.legacy.3a3a9bd9d8bd27be,value,Assemblywoman Morales has served in the New Jersey General Assembly since 2024 and represents District 34 in Essex County.,La asambleísta Morales forma parte de la Asamblea General de Nueva Jersey desde 2024 y representa al Distrito 34 del condado de Essex.,needs_review,9a64ebdce83fd78472366ad6d7727a971b6db4717a19a1bff69d37e614e52019,false,checked_in_legacy_catalog,,
site,catalog.legacy.3a78695388b38b5c,value,Home,Inicio,needs_review,faf853c6cfdaefb5bfc9916c4af9768a202afcc7c884560fa3c3a93a3ac5b68e,false,checked_in_legacy_catalog,,
site,catalog.legacy.3b622f9208bf06a6,value,Speak with the district office at (973) 450-0484.,Hable con la oficina del distrito llamando al (973) 450-0484.,needs_review,7da54d9bcf83f5075f94465bb54a78a367cfb17a319a36b6bb30b4ff774f8361,false,checked_in_legacy_catalog,,
site,catalog.legacy.3b9ba0c233ba8983,value,About Assemblywoman Carmen Theresa Morales,Acerca de la asambleísta Carmen Theresa Morales,needs_review,60814fe2a87f716defce1b0cff7f99f3836630217f5808f6a9aa4a3e23602f4c,false,checked_in_legacy_catalog,,
site,catalog.legacy.3f69396ee3f96c09,value,Page Resources,Recursos de la página,needs_review,e13668e00d5b45bce671c3b18ca7734425255d25eb8d32a7b2e5a55cdd66f8ba,false,checked_in_legacy_catalog,,
site,catalog.legacy.40b2f8abec451068,value,Committee Service,Servicio en comités,needs_review,3fec990b19de66bcccb6481e1962d0c1ad2727a2ea4d28a77164805acdaf6506,false,checked_in_legacy_catalog,,
site,catalog.legacy.41327d8d07ba606c,value,Sponsored Bills and Votes,Proyectos de ley patrocinados y votaciones,needs_review,748b2e57868c16fb1c69c1cf26c2f9b0a9c8dd0a3d66735b3a3c592bfb1a9617,false,checked_in_legacy_catalog,,
site,catalog.legacy.4145088f1f5a9b92,value,Constituent meeting in a community space,Reunión con residentes en un espacio comunitario,needs_review,b001a61bf0b73c541370676a24c9b1d478667153849488837c4bcf36c9d5e136,false,checked_in_legacy_catalog,,
site,catalog.legacy.4233b9d63b3bbc51,value,Assemblywoman Carmen Morales visiting constituents outdoors,La asambleísta Carmen Morales visitando a residentes al aire libre,needs_review,211fe35e579b87b3642ba8c1d09a371c87903d790e44dd7e0faa5cbb03a030ef,false,checked_in_legacy_catalog,,
site,catalog.legacy.4979b31c4e76bdf1,value,"152 Franklin Street, Belleville, NJ 07109. Call (973) 450-0484 for district office assistance.","152 Franklin Street, Belleville, NJ 07109. Llame al (973) 450-0484 para recibir asistencia de la oficina del distrito.",needs_review,a963326b565ce44e9f591b86e3688fe58946e10371aa5ec84ee0b7414c2ae512,false,checked_in_legacy_catalog,,
site,catalog.legacy.4b2f6d1051f7706d,value,Official sources first,Fuentes oficiales primero,needs_review,1fb209ed384d8f558bcbf9f7e4897d52b6328e2ac004cf941fb104d6b4111636,false,checked_in_legacy_catalog,,
site,catalog.legacy.4bb9506320373875,value,Fresh Start expungement clinic event flyer,Volante de un evento de la clínica de eliminación de antecedentes Fresh Start,needs_review,5856dd75b7a33e5af34e1e51a6a337fe083dfb9a49ec15fb1034d21ef1045404,false,checked_in_legacy_catalog,,
site,catalog.legacy.4efca0d10c5feb8e,value,About,Acerca de,needs_review,a9d209935ae379c103e206a0f3eaa6a0cf7f6cfeb250fc657fae58d9fd5ccd4a,false,checked_in_legacy_catalog,,
site,catalog.legacy.50d916ecc5b7ed5b,value,Follow Legislative Activity,Seguir la actividad legislativa,needs_review,6d88aff128ddb729c2b92af0ba168c14d0185a69e2ef6648088d84371dd2ff6c,false,checked_in_legacy_catalog,,
site,catalog.legacy.50f1878d24fe66e5,value,District,Distrito,needs_review,6ad0fef17a9bfe1494102e464c831bd41940edabd7790f93fd2c3e348f9dbc95,false,checked_in_legacy_catalog,,
site,catalog.legacy.5275a882e20e5c5b,value,"Contact the district office to share a concern, ask a question, or request help with a state matter.","Comuníquese con la oficina del distrito para compartir una inquietud, hacer una pregunta o solicitar ayuda con un asunto estatal.",needs_review,c11f0859f93e7843ee081a5a941f69f7799e1ca26389452bb1ba4d8aa6f84916,false,checked_in_legacy_catalog,,
site,catalog.legacy.5388eb49f4463941,value,Confirmation is required,Se requiere confirmación,needs_review,136b6eaa0653aa21120e43d79fd1fcd3b7480a0b25994f2072e932ff20a9642c,false,checked_in_legacy_catalog,,
site,catalog.legacy.5510160aaad44347,value,District 34,Distrito 34,needs_review,9e87b421aa23cdf7935f5b7104aba8a41e7ff640dbd4d5b0834194b98db7dfc8,false,checked_in_legacy_catalog,,
site,catalog.legacy.551660f242a2eb7b,value,Site-managed social posts are not yet available. Use the official legislative profile for current public records and contact information.,Las publicaciones sociales administradas por el sitio aún no están disponibles. Use el perfil legislativo oficial para consultar registros públicos e información de contacto vigentes.,needs_review,20f3720aa7bf8b8966bb8717589ec82be19e6cdb585b1519cb96ed511d4eaeb5,false,checked_in_legacy_catalog,,
site,catalog.legacy.57d25ec65ef9a4d5,value,Official Sources,Fuentes oficiales,needs_review,a7581ead5d5edb0e56538019a7b8e4a2038559cd2142586ebe72b4997d073a0d,false,checked_in_legacy_catalog,,
site,catalog.legacy.58352254e903cdd0,value,Assemblywoman Carmen Morales meeting with legislative colleagues,La asambleísta Carmen Morales reunida con colegas legisladores,needs_review,d04bbb380e9f557e8ba56fa226b242b192325c3b92de977dc0dbeeaff9e8a47e,false,checked_in_legacy_catalog,,
site,catalog.legacy.58e9696dec6ae4be,value,"State services, voting details, and legislative records link to current government sources.","Los servicios estatales, los detalles electorales y los registros legislativos enlazan a fuentes gubernamentales vigentes.",needs_review,1407d7fe6193fdfe445a2f2a1e17db87580b6e1645269af7fa016616f3be1aa4,false,checked_in_legacy_catalog,,
site,catalog.legacy.5fe9fb77b24f23fc,value,"District 34 includes Belleville, Bloomfield, East Orange, Glen Ridge, Nutley, and Orange in Essex County.","El Distrito 34 incluye Belleville, Bloomfield, East Orange, Glen Ridge, Nutley y Orange en el condado de Essex.",needs_review,a3aa3a3b3ecd0036d0d2749413c35a39e60288e197e57d074099db891bd78b95,false,checked_in_legacy_catalog,,
site,catalog.legacy.604dce445e326d95,value,Services,Servicios,needs_review,ece986839da83304a4b8052b0cc4312d3d1f1174c88dd474a000e503828d60d2,false,checked_in_legacy_catalog,,
site,catalog.legacy.60f01cc87c4c56eb,value,Share a District Priority,Comparta una prioridad del distrito,needs_review,6c0eb3d64c64bfaf33f71b66c5159cf0a7b7442ed980348ee825d846000a51c7,false,checked_in_legacy_catalog,,
site,catalog.legacy.6484a7758ad7a80e,value,Service Requests,Solicitudes de servicio,needs_review,1806bf1d3cd1b83d7fd473bdbf7f7e1590915e0a2ba763270fd2fa73263dc80a,false,checked_in_legacy_catalog,,
site,catalog.legacy.6885b342613b1074,value,Official New Jersey Services,Servicios oficiales de Nueva Jersey,needs_review,d7651da3919bf4d08ae92355a55e89dc7651f3af096abfd36953381a33e74399,false,checked_in_legacy_catalog,,
